1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
1339,0,0,None,3,1Fam,TA,No,504,0,LwQ,Unf,0,0,TA,525,Y,Norm,Norm,SBrkr,0,TA,TA,BrkFace,Plywood,MnPrv,None,0,CBlock,1,Min1,294,1,TA,Unf,TA,Attchd,1958,1339,0,GasA,TA,1Story,1,TA,Lvl,Gtl,7560,Inside,70,Reg,0,20,RL,0,None,None,0,5,NAmes,0,6,5,Y,0,None,CompShg,Hip,Abnorml,COD,0,Pave,6,1029,AllPub,0,1958,1965,2009
1795,0,0,None,3,1Fam,None,None,0,0,None,None,0,0,None,1777,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,534,2,TA,RFn,TA,Attchd,2002,1795,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,9742,Inside,75,Reg,0,20,RL,281,BrkFace,None,0,9,CollgCr,159,5,8,Y,0,None,CompShg,Hip,Normal,WD,0,Pave,7,1777,AllPub,171,2002,2002,2008
1060,0,0,None,3,TwnhsE,TA,No,840,0,GLQ,Unf,1,0,Gd,200,Y,Norm,Norm,SBrkr,0,TA,TA,CemntBd,CmentBd,None,TA,1,PConc,1,Typ,572,2,TA,Unf,TA,Attchd,1976,1060,0,GasA,TA,1Story,1,TA,Lvl,Gtl,4224,Inside,44,Reg,0,120,RM,0,None,None,0,6,MeadowV,110,7,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1040,AllPub,100,1976,1976,2007
1132,1320,0,None,4,1Fam,None,None,0,0,None,None,0,0,None,1117,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,3,Typ,691,3,TA,Fin,TA,BuiltIn,2004,2452,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,13418,Inside,108,Reg,0,60,RL,132,Stone,None,0,9,NridgHt,32,5,8,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,9,1117,AllPub,113,2004,2005,2006
1057,0,0,None,3,1Fam,TA,No,731,0,GLQ,Unf,1,0,TA,326,Y,Norm,Norm,SBrkr,0,Gd,TA,VinylSd,VinylSd,None,None,0,CBlock,1,Typ,246,1,TA,Unf,TA,Detchd,1953,1057,0,GasA,TA,1Story,1,Gd,Lvl,Gtl,7922,Inside,68,Reg,0,20,RL,0,None,None,0,1,NAmes,52,7,5,Y,0,None,CompShg,Gable,Abnorml,WD,0,Pave,5,1057,AllPub,0,1953,2007,2010
1150,0,0,None,3,1Fam,TA,No,179,506,ALQ,BLQ,1,0,TA,465,Y,Norm,Norm,FuseA,0,TA,TA,BrkFace,Wd Sdng,None,None,0,CBlock,1,Typ,300,1,TA,RFn,TA,Attchd,1959,1150,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,7945,Inside,70,Reg,0,20,RL,0,None,None,0,5,NAmes,0,6,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1150,AllPub,0,1959,1959,2006
1426,1519,0,None,3,1Fam,None,None,0,0,None,None,0,0,None,1410,Y,Norm,Norm,SBrkr,37,TA,Ex,VinylSd,VinylSd,None,Gd,1,PConc,3,Typ,641,3,TA,Fin,TA,BuiltIn,2006,2945,1,GasA,Ex,2Story,1,Gd,HLS,Gtl,13682,CulDSac,66,IR2,0,60,RL,1031,BrkFace,None,0,10,StoneBr,0,5,10,Y,0,None,CompShg,Hip,Partial,New,0,Pave,10,1410,AllPub,192,2006,2006,2006
2207,0,0,None,3,1Fam,TA,Gd,912,0,GLQ,Unf,1,0,Gd,1035,Y,PosA,Norm,SBrkr,0,TA,TA,Plywood,Plywood,None,Gd,1,CBlock,2,Min1,576,2,TA,RFn,TA,Attchd,1970,2207,0,GasA,TA,1Story,1,TA,Lvl,Gtl,19900,Inside,141.0673598,Reg,0,20,RL,287,BrkFace,None,0,7,NAmes,0,5,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1947,AllPub,301,1970,1989,2010
1479,0,0,None,3,1Fam,TA,Av,1013,0,GLQ,Unf,1,0,Gd,440,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,None,0,PConc,2,Typ,558,2,TA,RFn,TA,Attchd,2003,1479,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,10665,Inside,72,IR1,0,20,RL,167,BrkFace,None,0,6,CollgCr,29,5,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1453,AllPub,144,2003,2003,2007
885,833,0,None,3,1Fam,None,None,0,0,None,None,0,0,None,832,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,None,TA,1,PConc,2,Typ,427,2,TA,Fin,TA,Attchd,1998,1718,1,GasA,Gd,2Story,1,TA,Lvl,Gtl,10141,Corner,74,IR1,0,60,RL,40,BrkFace,None,0,12,Gilbert,94,5,7,Y,0,None,CompShg,Gable,Normal,WD,291,Pave,7,832,AllPub,0,1998,1998,2009
840,765,0,None,3,1Fam,None,None,0,0,None,None,0,0,None,840,N,Norm,Norm,SBrkr,202,Gd,Gd,VinylSd,VinylSd,None,None,0,CBlock,2,Typ,379,1,TA,Unf,TA,Detchd,1915,1605,0,GasA,Gd,2Story,2,TA,Lvl,Gtl,5790,Corner,60,Reg,0,50,RM,0,None,None,0,5,OldTown,0,6,3,Y,0,None,CompShg,Gambrel,Normal,WD,0,Pave,8,840,AllPub,0,1915,1950,2010
952,0,0,None,2,1Fam,TA,No,228,0,ALQ,Unf,0,0,TA,724,Y,Norm,Norm,FuseA,0,TA,TA,VinylSd,VinylSd,None,None,0,CBlock,1,Typ,283,1,TA,Unf,TA,Detchd,1956,952,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,8475,Inside,92.0597632,IR1,0,20,RL,0,None,None,0,4,NAmes,0,7,4,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,4,952,AllPub,0,1956,1956,2008
804,670,0,None,3,1Fam,None,None,0,0,None,None,0,0,None,384,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,None,TA,1,PConc,2,Typ,400,2,TA,Fin,TA,BuiltIn,1995,1474,1,GasA,Gd,SLvl,1,TA,Lvl,Gtl,8530,Inside,92.35799911,IR1,0,80,RL,22,BrkFace,Shed,700,5,Gilbert,72,5,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,384,AllPub,120,1995,1996,2009
612,612,0,Pave,2,TwnhsE,None,None,0,0,None,None,0,0,None,612,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,None,0,PConc,2,Typ,528,2,TA,RFn,TA,Detchd,2009,1224,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,3951,Corner,40,Reg,0,160,FV,76,Stone,None,0,6,Somerst,234,5,6,Y,0,None,CompShg,Gable,Partial,New,0,Pave,4,612,AllPub,0,2009,2009,2009
1610,0,0,None,3,1Fam,TA,Mn,1200,0,ALQ,Unf,1,0,TA,410,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,None,TA,2,PConc,2,Typ,480,2,TA,RFn,TA,Attchd,1977,1610,0,GasA,Gd,1Story,1,Gd,Lvl,Gtl,10603,Inside,102.9708697,IR1,0,20,RL,28,BrkFace,None,0,2,NWAmes,68,7,6,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1610,AllPub,168,1977,2001,2010
789,0,0,None,2,1Fam,TA,No,104,169,ALQ,BLQ,0,0,TA,516,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,None,None,0,CBlock,1,Typ,250,1,TA,Unf,TA,Detchd,1948,789,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,6000,Inside,50,Reg,0,20,RM,0,None,None,0,4,OldTown,0,5,5,Y,0,None,CompShg,Gable,Partial,WD,0,Pave,5,789,AllPub,0,1948,1950,2008
988,0,130,None,1,1Fam,TA,Gd,938,0,ALQ,Unf,1,0,TA,0,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,None,TA,2,CBlock,1,Typ,540,2,TA,Unf,TA,Attchd,1969,988,0,GasA,Ex,SLvl,1,TA,Low,Sev,21453,CulDSac,59.91111111,IR1,0,80,RL,0,None,None,0,10,ClearCr,130,5,6,Y,0,None,Metal,Flat,Normal,WD,0,Pave,4,938,AllPub,0,1969,1969,2006
1080,0,0,None,3,1Fam,TA,No,570,0,BLQ,Unf,0,0,TA,510,Y,Norm,Norm,SBrkr,0,Gd,TA,MetalSd,MetalSd,None,None,0,CBlock,1,Typ,288,1,TA,Unf,TA,Attchd,1958,1080,0,GasA,Gd,1Story,1,TA,Lvl,Gtl,9464,Corner,75,Reg,0,20,RL,135,BrkFace,None,0,6,NAmes,0,7,6,Y,0,None,CompShg,Hip,Normal,WD,130,Pave,5,1080,AllPub,0,1958,1958,2008
1586,0,0,None,3,1Fam,None,None,0,0,None,None,0,0,None,1362,Y,Norm,Norm,SBrkr,0,Gd,TA,HdBoard,HdBoard,None,TA,1,CBlock,2,Typ,435,2,TA,Unf,TA,Attchd,1979,1586,0,GasA,TA,1Story,1,TA,Lvl,Gtl,17043,CulDSac,48,IR1,0,20,RL,0,None,None,0,1,NWAmes,0,5,6,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1362,AllPub,192,1979,1998,2009
1216,941,0,None,4,1Fam,TA,No,445,0,Rec,Unf,0,0,TA,479,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,GdPrv,Gd,2,CBlock,2,Typ,487,2,TA,Fin,TA,Attchd,1966,2157,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,14200,Corner,88,Reg,0,60,RL,309,BrkFace,None,0,5,NAmes,66,6,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,8,924,AllPub,105,1966,1966,2006
1296,0,0,None,2,1Fam,TA,No,1005,0,GLQ,Unf,1,0,Ex,262,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,None,0,PConc,2,Typ,471,2,TA,Fin,TA,Attchd,2001,1296,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,6853,Inside,82.78284847,IR1,0,20,RL,136,BrkFace,None,0,6,Timber,25,5,8,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1267,AllPub,192,2001,2002,2009
1721,0,0,None,3,1Fam,TA,No,570,0,Rec,Unf,0,0,TA,891,Y,Norm,Norm,SBrkr,180,TA,TA,Plywood,Plywood,MnPrv,TA,1,CBlock,2,Min1,440,2,TA,RFn,TA,Attchd,1968,1721,1,GasA,Gd,1Story,1,TA,Lvl,Gtl,10335,Inside,78,IR1,0,20,RL,0,None,None,0,7,Sawyer,96,6,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1461,AllPub,0,1968,1993,2006
1004,848,0,None,3,1Fam,TA,Mn,668,0,GLQ,Unf,0,0,Gd,336,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,GdPrv,TA,2,PConc,2,Typ,660,3,TA,Fin,TA,Attchd,1999,1852,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,9066,Inside,73,IR1,0,60,RL,320,BrkFace,None,0,12,CollgCr,106,5,8,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1004,AllPub,224,1999,2000,2008
1734,0,0,None,3,1Fam,TA,Av,1300,0,GLQ,Unf,1,0,Gd,434,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,None,0,PConc,2,Typ,660,2,TA,Fin,TA,Attchd,2005,1734,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11645,Inside,78,Reg,0,20,RL,0,None,None,0,1,CollgCr,24,5,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1734,AllPub,160,2005,2005,2006
875,0,0,None,2,1Fam,TA,No,209,0,BLQ,Unf,1,0,TA,506,Y,Norm,Norm,FuseA,0,TA,TA,Wd Sdng,Wd Sdng,None,None,0,BrkTil,1,Typ,180,1,TA,Unf,Fa,Detchd,1931,875,0,GasA,TA,1Story,1,TA,Lvl,Gtl,6120,Corner,51,Reg,0,30,RM,0,None,None,0,11,BrkSide,0,7,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,5,715,AllPub,48,1931,1993,2009
1710,0,0,None,2,1Fam,TA,Gd,1400,0,GLQ,Unf,1,0,Ex,310,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,866,3,TA,RFn,TA,Attchd,2007,1710,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,13891,Inside,107,Reg,0,20,RL,436,Stone,None,0,1,NridgHt,102,5,8,Y,0,None,CompShg,Hip,Partial,New,0,Pave,6,1710,AllPub,0,2007,2008,2008
1867,0,0,None,2,1Fam,TA,No,379,768,LwQ,BLQ,1,0,TA,470,Y,Norm,Norm,FuseA,0,TA,Gd,Wd Sdng,Wd Sdng,GdWo,Gd,3,CBlock,1,Typ,303,1,TA,Fin,TA,Attchd,1955,1867,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,10708,Inside,103.4794666,IR1,0,20,RL,0,None,None,0,11,ClearCr,0,5,5,Y,0,None,CompShg,Hip,Normal,COD,142,Pave,7,1617,AllPub,476,1955,1993,2009
1610,551,0,None,3,1Fam,TA,No,1288,0,GLQ,Unf,1,0,Ex,294,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,1,Typ,789,3,TA,Fin,TA,Attchd,2007,2161,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,10562,Inside,86,Reg,0,60,RL,300,Stone,None,0,11,NridgHt,120,5,8,Y,0,None,CompShg,Gable,Partial,New,0,Pave,8,1582,AllPub,178,2007,2007,2007
1656,0,0,None,3,1Fam,Gd,Gd,639,0,BLQ,Unf,1,0,TA,441,Y,Norm,Norm,SBrkr,0,TA,TA,BrkFace,Plywood,None,Gd,2,CBlock,1,Typ,528,2,TA,Fin,TA,Attchd,1960,1656,0,GasA,Fa,1Story,1,TA,Lvl,Gtl,31770,Corner,141,IR1,0,20,RL,112,Stone,None,0,5,NAmes,62,5,6,P,0,None,CompShg,Hip,Normal,WD,0,Pave,7,1080,AllPub,210,1960,1960,2010
769,756,0,None,3,Twnhs,TA,No,436,0,GLQ,Unf,0,0,Gd,320,Y,Norm,Norm,SBrkr,0,TA,Gd,MetalSd,MetalSd,None,TA,1,PConc,2,Typ,440,2,TA,Unf,TA,Detchd,2000,1525,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,2117,Inside,46.01086828,Reg,0,160,FV,456,BrkFace,None,0,6,Somerst,0,5,6,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,5,756,AllPub,0,2000,2000,2007
901,901,0,None,4,1Fam,TA,No,352,0,LwQ,Unf,0,0,Fa,441,Y,Norm,Norm,SBrkr,40,TA,TA,Stucco,Stucco,None,Gd,1,BrkTil,1,Typ,216,1,TA,Unf,Fa,Detchd,1920,1802,1,GasA,Gd,2Story,1,TA,Lvl,Gtl,7588,Inside,54,Reg,0,70,RL,0,None,None,0,7,Crawfor,0,6,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,9,793,AllPub,0,1920,1950,2006
1217,0,0,None,3,1Fam,TA,Av,611,0,GLQ,Unf,1,0,Gd,577,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,GdPrv,None,0,PConc,2,Typ,497,2,TA,Unf,TA,Attchd,1990,1217,0,GasA,Ex,SLvl,1,Gd,Lvl,Gtl,9947,CulDSac,59.91111111,IR1,0,80,RL,0,None,None,0,6,Mitchel,27,5,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1188,AllPub,168,1990,1991,2009
1442,0,508,None,3,1Fam,None,None,0,0,None,None,0,0,None,1424,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,None,None,0,PConc,2,Typ,500,2,TA,RFn,TA,Attchd,1990,1442,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,11851,Corner,99,Reg,0,20,RL,0,None,None,0,5,Gilbert,34,5,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,5,1424,AllPub,0,1990,1990,2009
689,703,0,None,3,1Fam,TA,No,378,0,GLQ,Unf,0,0,Gd,311,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,MnPrv,None,0,CBlock,1,Typ,299,1,TA,Fin,TA,Attchd,1977,1392,1,GasA,Ex,2Story,1,TA,Lvl,Gtl,10900,FR2,104.4030651,IR1,0,60,RL,153,BrkFace,Shed,450,3,CollgCr,36,7,6,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,689,AllPub,0,1977,1977,2010
1236,0,0,None,2,1Fam,TA,No,360,0,BLQ,Unf,0,1,TA,710,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,MnPrv,Fa,1,CBlock,1,Min1,447,1,TA,Unf,TA,Attchd,1957,1236,0,GasA,TA,1Story,1,Gd,Lvl,Gtl,10011,Inside,72,IR1,0,20,RL,64,BrkFace,None,0,5,NAmes,0,6,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1070,AllPub,0,1957,1996,2006
1137,817,0,None,3,1Fam,TA,No,341,0,BLQ,Unf,0,1,TA,457,Y,Norm,Norm,SBrkr,150,Gd,Gd,VinylSd,VinylSd,None,TA,2,CBlock,1,Typ,431,2,TA,Unf,TA,Attchd,1939,1954,1,GasA,Ex,1.5Fin,1,Gd,Lvl,Gtl,15660,Corner,125.1399217,IR1,0,50,RL,312,BrkFace,None,0,5,Crawfor,119,9,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,8,798,AllPub,0,1939,2006,2008
1010,1257,0,None,4,1Fam,None,None,0,0,None,None,0,0,None,1010,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,TA,1,PConc,2,Typ,390,2,TA,RFn,TA,BuiltIn,2002,2267,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,8068,Inside,89.82204629,IR1,0,60,RL,0,None,None,0,12,Gilbert,46,5,6,Y,0,None,CompShg,Gable,Normal,ConLI,0,Pave,8,1010,AllPub,120,2002,2002,2009
811,741,0,None,3,1Fam,TA,No,550,0,ALQ,Unf,1,0,Gd,163,Y,RRAn,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,MnPrv,TA,1,CBlock,2,Typ,434,2,TA,RFn,TA,Attchd,1975,1552,1,GasA,TA,2Story,1,TA,Lvl,Gtl,11475,Inside,85,Reg,0,60,RL,0,None,None,0,2,NWAmes,208,6,6,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,713,AllPub,209,1975,1975,2006
1194,0,0,None,3,1Fam,None,None,0,0,None,None,1,0,None,1194,Y,Norm,Norm,SBrkr,120,TA,TA,MetalSd,MetalSd,None,None,0,CBlock,1,Typ,312,1,TA,RFn,TA,Attchd,1959,1194,0,GasA,TA,1Story,1,TA,Lvl,Gtl,8760,Inside,73,Reg,0,20,RL,220,BrkFace,None,0,4,NAmes,0,6,6,Y,0,None,CompShg,Hip,Normal,WD,0,Pave,6,1194,AllPub,0,1959,1959,2010
1014,730,238,None,3,1Fam,TA,No,402,0,BLQ,Unf,0,0,Gd,594,Y,RRNe,Norm,SBrkr,0,TA,Gd,HdBoard,HdBoard,None,None,0,PConc,2,Typ,457,2,TA,RFn,TA,Attchd,1993,1744,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,9453,CulDSac,59.91111111,IR1,0,60,RL,0,None,None,0,2,SawyerW,70,7,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,996,AllPub,370,1993,2003,2010
1566,0,0,None,3,1Fam,TA,Av,1078,0,GLQ,Unf,1,0,Gd,488,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,None,0,PConc,2,Typ,750,2,TA,RFn,TA,Attchd,2008,1566,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,9000,Inside,75,Reg,0,20,FV,36,Stone,None,0,4,Somerst,168,5,8,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1566,AllPub,144,2008,2008,2010
889,551,0,None,3,1Fam,None,None,0,0,None,None,0,0,None,540,N,Norm,Norm,FuseA,77,TA,TA,Wd Sdng,Wd Sdng,None,None,0,BrkTil,1,Typ,352,1,TA,Unf,Fa,Attchd,1940,1440,0,GasA,Gd,1.5Fin,1,TA,Lvl,Gtl,5000,Corner,63,Reg,0,50,RM,0,None,None,0,4,OldTown,0,4,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,540,AllPub,0,1900,1950,2006
