1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
1297,0,0,None,3,1Fam,TA,No,1213,0,Rec,Unf,0,1,TA,84,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,None,TA,1,CBlock,1,Typ,498,2,TA,Fin,TA,Attchd,1954,1297,0,GasA,Gd,1Story,1,TA,Lvl,Gtl,8532,Inside,74,Reg,0,20,RL,650,BrkFace,None,0,10,NAmes,0,6,5,Y,0,None,CompShg,Hip,Normal,WD,0,Pave,5,1297,AllPub,0,1954,1990,2009
1324,0,0,None,3,1Fam,TA,No,643,0,Rec,Unf,0,0,TA,445,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,GdWo,TA,1,CBlock,2,Typ,440,2,TA,RFn,TA,Attchd,1965,1324,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,8658,Inside,84,Reg,0,20,RL,101,BrkFace,None,0,12,NAmes,138,5,6,Y,0,None,CompShg,Gable,Abnorml,WD,0,Pave,6,1088,AllPub,0,1965,1965,2006
1328,0,0,None,2,1Fam,TA,Gd,967,0,BLQ,Unf,0,1,TA,383,Y,Norm,Norm,SBrkr,0,Gd,TA,VinylSd,VinylSd,None,Gd,2,CBlock,1,Typ,308,1,TA,RFn,TA,Attchd,1959,1328,1,GasA,Gd,1Story,1,TA,Lvl,Gtl,16905,Inside,115,Reg,0,20,RL,0,None,None,0,7,Timber,104,6,5,P,0,None,CompShg,Gable,Normal,WD,0,Pave,5,1350,AllPub,0,1959,1959,2007
884,0,0,None,2,1Fam,TA,Av,747,93,ALQ,LwQ,1,0,Gd,0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,MnPrv,None,0,CBlock,1,Typ,504,2,Gd,RFn,TA,Attchd,1983,884,0,GasA,Gd,SFoyer,1,Gd,Lvl,Gtl,9180,CulDSac,59.91111111,IR1,0,85,RL,0,None,None,0,12,SawyerW,0,7,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,5,840,AllPub,240,1983,1983,2007
938,0,0,None,3,1Fam,TA,Av,280,491,LwQ,BLQ,1,0,Gd,167,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,MnPrv,None,0,CBlock,1,Typ,308,1,TA,Unf,TA,Detchd,1977,938,0,GasA,TA,1Story,1,TA,Lvl,Gtl,9200,CulDSac,59.91111111,IR1,0,20,RL,0,None,None,0,7,CollgCr,0,6,5,Y,0,None,CompShg,Hip,Normal,WD,0,Pave,5,938,AllPub,145,1975,1980,2008
1752,0,0,None,2,TwnhsE,TA,No,456,0,GLQ,Unf,1,0,Ex,1296,Y,Norm,Norm,SBrkr,0,TA,Ex,MetalSd,MetalSd,None,Gd,1,PConc,2,Typ,576,2,TA,RFn,TA,Attchd,2005,1752,0,GasA,Ex,1Story,1,Ex,Lvl,Gtl,7658,Inside,61,Reg,0,120,RL,412,BrkFace,None,0,2,NridgHt,82,5,9,Y,0,None,CompShg,Hip,Normal,WD,0,Pave,6,1752,AllPub,196,2005,2005,2010
1518,631,0,None,1,1Fam,TA,No,1351,0,GLQ,Unf,1,0,Ex,83,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Ex,1,PConc,1,Typ,670,2,TA,RFn,TA,Attchd,2003,2149,1,GasA,Ex,1.5Fin,1,Gd,Lvl,Gtl,12822,CulDSac,48,IR1,0,50,RL,0,None,None,0,8,Mitchel,43,5,7,Y,0,None,CompShg,Gable,Abnorml,WD,198,Pave,6,1434,AllPub,168,2003,2003,2009
1656,0,0,None,3,1Fam,TA,Av,24,0,GLQ,Unf,0,0,Gd,1632,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,None,0,PConc,2,Typ,826,3,TA,RFn,TA,Attchd,2006,1656,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11096,Inside,84,Reg,0,20,FV,0,None,None,0,7,Somerst,146,5,8,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1656,AllPub,0,2006,2006,2007
955,0,0,None,3,1Fam,TA,No,763,0,BLQ,Unf,1,0,TA,192,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,MnPrv,None,0,CBlock,1,Typ,386,1,TA,Unf,TA,Attchd,1966,955,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,7742,Inside,66,Reg,0,20,RL,0,None,None,0,1,Sawyer,0,7,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,955,AllPub,0,1966,1966,2007
794,676,0,None,3,1Fam,TA,Av,182,0,GLQ,Unf,0,1,Gd,612,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,None,None,0,PConc,2,Typ,388,2,TA,Fin,TA,Attchd,1997,1470,0,GasA,Gd,2Story,1,TA,Lvl,Gtl,13869,Corner,117.7667186,IR2,0,60,RL,0,None,None,0,7,Gilbert,75,6,6,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,794,AllPub,0,1997,1997,2007
816,0,0,None,3,1Fam,None,None,0,0,None,None,0,0,None,816,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,MnPrv,Gd,1,PConc,1,Typ,528,2,TA,Unf,TA,Detchd,1985,1176,0,GasA,TA,1.5Fin,1,TA,Lvl,Gtl,6240,Inside,52,Reg,360,50,RM,0,None,Shed,400,9,BrkSide,0,6,6,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,816,AllPub,112,1934,1950,2006
816,0,0,None,2,Duplex,TA,Gd,104,712,LwQ,GLQ,1,0,Gd,0,N,RRNn,Norm,SBrkr,0,TA,Fa,Wd Sdng,Wd Sdng,None,None,0,CBlock,1,Typ,516,2,TA,Unf,TA,CarPort,1963,816,0,GasA,TA,1Story,1,TA,Bnk,Mod,8472,Corner,110,IR2,0,90,RM,0,None,None,0,5,IDOTRR,0,5,5,Y,0,None,CompShg,Gable,Normal,WD,0,Grvl,5,816,AllPub,106,1963,1963,2010
1842,0,0,None,0,1Fam,TA,Gd,1810,0,GLQ,Unf,2,0,Ex,32,Y,Norm,Norm,SBrkr,0,TA,Gd,WdShing,Wd Shng,None,Gd,1,CBlock,0,Typ,894,3,TA,Fin,TA,Attchd,1981,1842,1,GasA,Gd,1Story,1,Gd,Low,Gtl,50271,Inside,68,IR1,0,20,RL,0,None,None,0,11,Veenker,72,5,9,Y,0,None,WdShngl,Gable,Normal,WD,0,Pave,5,1842,AllPub,857,1981,1987,2006
1360,0,0,None,3,1Fam,TA,No,384,0,ALQ,Unf,0,0,TA,0,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,MnPrv,TA,1,CBlock,1,Min1,572,2,TA,Unf,TA,Detchd,1962,1360,0,GasA,TA,SLvl,1,TA,Bnk,Mod,7134,Inside,60,Reg,0,80,RL,0,None,None,0,2,NAmes,50,5,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,384,AllPub,0,1955,1955,2007
1425,0,407,None,3,1Fam,TA,No,490,0,BLQ,Unf,0,0,TA,935,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,Plywood,None,Gd,1,CBlock,2,Typ,576,2,TA,RFn,TA,Attchd,1964,1425,0,GasA,Gd,1Story,1,TA,Lvl,Gtl,10175,Inside,100,IR1,0,20,RL,272,BrkFace,None,0,7,NAmes,0,5,6,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1425,AllPub,0,1964,1964,2008
983,756,0,Pave,3,Twnhs,TA,No,649,0,GLQ,Unf,1,0,Gd,321,Y,Norm,Norm,SBrkr,0,TA,Gd,MetalSd,MetalSd,None,None,0,PConc,2,Typ,480,2,TA,Fin,TA,Attchd,1999,1739,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,2645,Inside,24,Reg,0,160,FV,456,BrkFace,None,0,8,Somerst,0,5,8,Y,0,None,CompShg,Gable,Abnorml,WD,0,Pave,7,970,AllPub,115,1999,2000,2009
860,860,0,None,3,1Fam,None,None,0,0,None,None,0,0,None,860,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,None,0,PConc,2,Typ,565,2,TA,RFn,TA,Attchd,2004,1720,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,11645,Corner,89,IR1,0,60,RL,0,None,None,0,8,CollgCr,70,5,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,860,AllPub,0,2004,2004,2006
780,0,0,None,2,1Fam,TA,Av,632,0,ALQ,Unf,0,0,TA,148,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,MnPrv,None,0,CBlock,1,Typ,352,1,TA,Unf,TA,Detchd,1973,780,0,GasA,Ex,1Story,1,TA,Bnk,Gtl,7200,Inside,60,Reg,0,20,RL,0,None,None,0,1,CollgCr,0,7,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,4,780,AllPub,196,1972,1972,2008
1158,0,0,None,3,1Fam,TA,No,941,0,ALQ,Unf,1,0,Gd,217,Y,RRAe,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,None,None,0,PConc,1,Typ,576,2,TA,Unf,TA,Detchd,2006,1158,1,GasA,Ex,1Story,1,Gd,Lvl,Gtl,13072,Inside,63,Reg,0,20,RL,0,None,None,0,5,SawyerW,50,5,6,Y,0,None,CompShg,Gable,Partial,New,0,Pave,5,1158,AllPub,0,2004,2004,2006
581,530,0,None,3,1Fam,None,None,0,0,None,None,0,0,None,530,N,Norm,Norm,SBrkr,144,TA,TA,MetalSd,MetalSd,None,None,0,BrkTil,1,Typ,288,1,TA,Unf,TA,Detchd,1935,1111,0,GasA,TA,2.5Unf,1,Fa,Lvl,Gtl,7200,Inside,60,Reg,0,75,RM,0,None,None,0,3,IDOTRR,0,7,5,N,0,None,CompShg,Gable,Normal,WD,0,Pave,6,530,AllPub,0,1920,1996,2007
1370,0,0,None,2,TwnhsE,Gd,Mn,24,0,GLQ,Unf,0,0,Gd,1346,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,484,2,TA,RFn,TA,Attchd,2006,1370,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,6442,Inside,44,IR1,0,120,RL,178,Stone,None,0,10,NridgHt,49,5,8,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1370,AllPub,120,2006,2006,2007
902,808,0,None,3,1Fam,None,None,0,0,None,None,0,0,None,576,Y,RRAn,Feedr,SBrkr,64,TA,TA,Stucco,Stucco,GdPrv,None,0,BrkTil,2,Typ,480,2,TA,Unf,TA,Detchd,1990,1710,0,GasA,Gd,2Story,1,TA,Bnk,Gtl,10300,Inside,50,IR1,0,70,RM,0,None,None,0,4,OldTown,11,6,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,9,576,AllPub,12,1921,1950,2010
1057,977,0,None,3,1Fam,TA,No,739,0,GLQ,Unf,1,0,Gd,318,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,GdPrv,None,0,PConc,2,Typ,645,2,TA,RFn,TA,Attchd,1998,2034,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,9375,Inside,96.82458366,Reg,0,60,RL,573,BrkFace,None,0,2,CollgCr,36,5,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,8,1057,AllPub,576,1997,1998,2009
1143,1330,0,None,4,1Fam,None,None,0,0,None,None,0,0,None,1143,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,852,3,TA,RFn,TA,BuiltIn,2004,2473,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,9591,Inside,76,Reg,0,60,RL,344,BrkFace,None,0,10,NridgHt,151,5,8,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,9,1143,AllPub,192,2004,2005,2007
747,0,0,None,2,1Fam,None,None,0,0,None,None,0,0,None,747,Y,Artery,Norm,SBrkr,0,Gd,TA,MetalSd,MetalSd,None,None,0,CBlock,1,Typ,220,1,TA,Unf,TA,Attchd,1945,747,0,GasA,TA,1Story,1,TA,Lvl,Gtl,4608,Corner,47,Reg,0,30,RM,0,None,None,0,6,OldTown,0,6,4,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,4,747,AllPub,0,1945,1950,2010
1304,983,0,None,3,1Fam,TA,No,603,0,BLQ,Unf,0,0,TA,701,Y,Norm,Norm,SBrkr,114,TA,Gd,BrkFace,AsbShng,None,TA,1,CBlock,2,Typ,667,2,TA,Fin,TA,Attchd,1953,2287,0,GasW,TA,1.5Fin,1,TA,Lvl,Gtl,15593,Corner,81,Reg,0,50,RL,0,None,None,0,7,ClearCr,21,4,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1304,AllPub,0,1953,1953,2006
2223,0,0,None,3,1Fam,TA,Gd,1880,0,ALQ,Unf,1,0,Gd,343,Y,Norm,Norm,SBrkr,0,Gd,TA,Plywood,Plywood,None,Gd,2,CBlock,2,Typ,516,2,TA,Fin,TA,Attchd,1973,2223,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,13651,Inside,95,IR1,0,20,RL,1115,BrkFace,None,0,2,NAmes,0,6,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,8,2223,AllPub,300,1973,1973,2007
845,0,0,None,2,1Fam,TA,No,565,0,ALQ,Unf,1,0,TA,280,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,Plywood,None,None,0,CBlock,1,Typ,360,2,TA,Unf,TA,Detchd,1987,845,0,GasA,TA,1Story,1,TA,Lvl,Gtl,7599,Corner,69,Reg,0,20,RL,0,None,None,0,6,Mitchel,0,6,4,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,4,845,AllPub,0,1982,2006,2007
1086,0,0,None,3,1Fam,TA,No,320,362,ALQ,BLQ,1,0,TA,404,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,GdWo,None,0,CBlock,1,Typ,490,2,TA,Unf,TA,Attchd,1989,1086,0,GasA,Gd,1Story,1,TA,Lvl,Gtl,10200,Inside,85,Reg,0,20,RL,104,BrkFace,None,0,5,NAmes,0,7,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1086,AllPub,0,1954,2003,2010
